جزائري	الجزائر
سوري	سورية
عراقي	العراق
لبناني	لبنان
فلسطيني	فلسطين
أردني	الأردن
سعودي	السعودية
كويتي	الكويت
يمني	اليمن
عماني	عمان
إماراتي	الإمارات
بحريني	البحرين
قطري	قطر
مصري	مصر
سوداني	السودان
ليبي	ليبيا
صومالي	الصومال
جيبوتي	جيبوتي
قمري	جزر القمر
موريتاني	موريتانيا
مغربي	المغرب
تونسي	تونس
تركي	تركيا
إيراني	إيران
إندونيسي	إندونيسيا
أفغاني	أفغانستان
باكستاني	باكستان
بنغالي	بنغلاديش
أذربيجاني	أذربيجان
ماليزي	ماليزيا
ألباني	ألبانيا
أمريكي	أمريكا
روسي	روسيا
صيني	الصين
بريطاني	بريطانيا
فرنسي	فرنسا
آسيوي	آسيا
أوروبي	أوروبا
أفريقي	أفريقيا
أسترالي	أستراليا
أمريكي شمالي	أمريكا الشمالية
أمريكي جنوبي	أمريكا الجنوبية
