Aberdonian	Aberdeen
Aberdonians	Aberdeen
Abkhaz	Abkhazia
Abkhazian	Abkhazia
Abkhazians	Abkhazia
Afghan	Afghanistan
Afghans	Afghanistan
African	Africa
Africans	Africa
Ahmedabadi	Ahmedabad
Ahmedabadis	Ahmedabad
Aivaliot	Aivali
Alabaman	Alabama
Alabamans	Alabama
Alabamian	Alabama
Alabamians	Alabama
Alaskan	Alaska
Alaskans	Alaska
Albanian	Albania
Albanians	Albania
Albertan	Alberta
Albertans	Alberta
Alexandrian	Alexandria
Algerian	Algeria
Algerians	Algeria
Alsatian	Alsace
Alsatians	Alsace
American	United States
American Samoan	American Samoa
American Samoans	American Samoa
Americans	United States
Amsterdamer	Amsterdam
Andalusian	Andalusia
Andalusians	Andalusia
Andorran	Andorra
Andorrans	Andorra
Angeleno	Los Angeles
Angelenos	Los Angeles
Angolan	Angola
Angolans	Angola
Anguillan	Anguilla
Anguillans	Anguilla
Antarctic	Antarctica
Antarctic residents	Antarctica
Antiguan	Antigua and Barbuda
Antiguans	Antigua and Barbuda
Antwerpian	Antwerp
Antwerpians	Antwerp
Aostan	Aosta
Aostans	Aosta
Apulian	Apulia
Apulians	Apulia
Arab	Arabs
Arabs	Arabs
Aragonese	Aragon
Argentine	Argentina
Argentines	Argentina
Argentinian	Argentina
Arizonan	Arizona
Arizonans	Arizona
Arizonian	Arizona
Arizonians	Arizona
Arkansan	Arkansas
Arkansans	Arkansas
Arkansasan	Arkansas
Arkansasans	Arkansas
Arkansasian	Arkansas
Arkansawyer	Arkansas
Arkansian	Arkansas
Arkansians	Arkansas
Arkie	Arkansas
Arkies	Arkansas
Armenian	Armenia
Armenians	Armenia
Aruban	Aruba
Arubans	Aruba
Arubian	Aruba
Arubians	Aruba
Astanan	Astana
Astanans	Astana
Asturian	Asturias
Asturians	Asturias
Athenian	Athens
Athenians	Athens
Aucklander	Auckland
Aucklanders	Auckland
Australian	Australia
Australians	Australia
Austrian	Austria
Austrians	Austria
Austro	Austria
Austro-Hungarian	Austria
Azerbaijani	Azerbaijan
Azerbaijanis	Azerbaijan
Azeri	Azerbaijan
Azeris	Azerbaijan
BIOT	British Indian Ocean Territory
BVIslander	Budapest
Bahamian	Bahamas
Bahamians	Bahamas
Bahraini	Bahrain
Bahrainis	Bahrain
Balinese	Bali
Bamar	Myanmar
Bangalorean	Bangalore
Bangladeshi	Bangladesh
Bangladeshis	Bangladesh
Banyarwanda	Rwanda
Barbadian	Barbados
Barbadians	Barbados
Barbudan	Antigua and Barbuda
Barbudans	Antigua and Barbuda
Barundi	Burundi
Basotho	Lesotho
Basque	Bangalore
Basques	Bangalore
Bavarian	Bavaria
Bavarians	Bavaria
Belarusian	Belarus
Belarusians	Belarus
Belgian	Belgium
Belgians	Belgium
Belgradian	Belgrade
Belgradians	Belgrade
Belizean	Belize
Belizeans	Belize
Bengali	Bengal
Bengalis	Bengal
Beninese	Benin
Beninois	Benin
Beninoises	Benin
Berliner	Berlin
Berliners	Berlin
Bermudan	Bermuda
Bermudans	Bermuda
Bermudian	Bermuda
Bermudians	Bermuda
Bhutanese	Bhutan
Bissau-Guinean	Guinea-Bissau
